Country,Continent,Year,GDP per capita growth (annual %),GDP (current US$),umd_tree_cover_loss__ha,whrc_aboveground_co2_emissions__Mg,whrc_aboveground_biomass_loss__Mg
Czech Republic,Europe,2001,3.296140656,67523642262,13354652.67,3763148920,2052626684
Czech Republic,Europe,2002,1.848772611,81910771994,16452699.36,4435717301,2419482164
Czech Republic,Europe,2003,3.632645492,99627140274,14475361.02,3745068209,2042764478
Czech Republic,Europe,2004,4.874640468,1.19E+11,19908699.54,5339090598,2912231235
Czech Republic,Europe,2005,6.386207214,1.36E+11,18098285.62,5057564419,2758671501
Czech Republic,Europe,2006,6.564559093,1.55E+11,17649688.54,4885405680,2664766735
Czech Republic,Europe,2007,4.988202194,1.89E+11,18387957,5178625295,2824704706
Czech Republic,Europe,2008,1.834145074,2.36E+11,18611140.92,5154325543,2811450296
Czech Republic,Europe,2009,-5.343397792,2.06E+11,16991661.62,4983954421,2718520593
Czech Republic,Europe,2010,1.975868191,2.07E+11,18553355.44,5251390682,2864394917
Czech Republic,Europe,2011,1.567627262,2.28E+11,17579213.7,4783706118,2609294246
Czech Republic,Europe,2012,-0.938553682,2.07E+11,23532293.48,6263220830,3416302271
Czech Republic,Europe,2013,-0.51667508,2.09E+11,20643261.97,5115553035,2790301655
Czech Republic,Europe,2014,2.607037045,2.08E+11,23732724.87,6265643444,3417623697
Czech Republic,Europe,2015,5.102415766,1.87E+11,19622332.29,5233778330,2854788180
Czech Republic,Europe,2016,2.253976554,1.95E+11,29674796.78,8470968303,4620528165
Czech Republic,Europe,2017,4.075766346,2.16E+11,29378035.79,8062722940,4397848876
Czech Republic,Europe,2018,2.502686904,2.45E+11,24750172.66,6696237282,3652493063
Czech Republic,Europe,2019,2.183523868,2.46E+11,24174217.28,6517439002,3554966729
France,Europe,2001,1.244192104,1.38E+12,34420.96339,10696980.26,5834716.504
France,Europe,2002,0.402709914,1.49E+12,33888.39717,10608604.79,5786511.705
France,Europe,2003,0.11107373,1.84E+12,26393.33418,8245781.433,4497698.964
France,Europe,2004,2.075384202,2.12E+12,76134.34456,24397672.81,13307821.54
France,Europe,2005,0.899762891,2.20E+12,46390.59105,14789553.08,8067028.955
France,Europe,2006,1.737523985,2.32E+12,55049.47436,17906024.17,9766922.273
France,Europe,2007,1.792993386,2.66E+12,49246.17317,16416162.46,8954270.433
France,Europe,2008,-0.303770529,2.92E+12,86955.39993,29967854.76,16346102.6
France,Europe,2009,-3.37173719,2.69E+12,67053.59918,20473167.65,11167182.36
France,Europe,2010,1.44701286,2.64E+12,143265.2096,42989220.93,23448665.96
France,Europe,2011,1.69963012,2.86E+12,64074.31686,20763127.58,11325342.31
France,Europe,2012,-0.171212887,2.68E+12,67302.61843,21925630.52,11959434.83
France,Europe,2013,0.059905733,2.81E+12,30351.83693,9647143.919,5262078.501
France,Europe,2014,0.479080613,2.85E+12,44359.06366,14355741.07,7830404.221
France,Europe,2015,0.754024352,2.44E+12,37292.53033,11772542.19,6421386.651
France,Europe,2016,0.829056655,2.47E+12,60768.46951,18768286.08,10237246.95
France,Europe,2017,2.07682248,2.60E+12,69249.04325,21691330.88,11831635.02
France,Europe,2018,1.638526702,2.79E+12,69201.43579,22013789.21,12007521.39
France,Europe,2019,1.366344017,2.72E+12,81304.16864,26665159.41,14544632.41
Bangladesh,Asia,2001,3.113805084,53991289844,4586.997203,1921736.743,1048220.042
Bangladesh,Asia,2002,1.960382474,54724081491,3995.287574,1582402.222,863128.4846
Bangladesh,Asia,2003,2.941853266,60158929188,2159.457158,844716.8496,460754.6453
Bangladesh,Asia,2004,3.553360233,65108544250,4282.539726,1625563.849,886671.1906
Bangladesh,Asia,2005,4.965842913,69442943089,3293.032456,1329185.071,725010.0387
Bangladesh,Asia,2006,5.244531351,71819083684,6862.821263,2683243.326,1463587.269
Bangladesh,Asia,2007,5.753420689,79611888213,3995.102624,1512706.839,825112.8212
Bangladesh,Asia,2008,4.806170346,91631278239,4480.089873,1697939.49,926148.8125
Bangladesh,Asia,2009,3.878501409,1.02E+11,5624.91051,2161629.201,1179070.473
Bangladesh,Asia,2010,4.390980367,1.15E+11,4667.802143,1727951.636,942519.0739
Bangladesh,Asia,2011,5.25309563,1.29E+11,4181.292614,1583429.685,863688.9192
Bangladesh,Asia,2012,5.298244958,1.33E+11,5359.457806,2105350.309,1148372.896
Bangladesh,Asia,2013,4.794401642,1.50E+11,6021.926532,2196804.691,1198257.104
Bangladesh,Asia,2014,4.856108324,1.73E+11,12060.76315,4400439.992,2400239.996
Bangladesh,Asia,2015,5.368770649,1.95E+11,12603.76175,4559557.133,2487031.163
Bangladesh,Asia,2016,5.950927422,2.21E+11,21196.22802,7808435.075,4259146.404
Bangladesh,Asia,2017,6.142103948,2.50E+11,28376.54723,10519325.33,5737813.817
Bangladesh,Asia,2018,6.737017522,2.74E+11,19342.87285,7014636.6,3826165.418
Bangladesh,Asia,2019,7.031583836,3.03E+11,22078.75979,8185211.336,4464660.729
Mexico,South America,2001,-1.792903613,7.57E+11,158302.9885,38127450.45,20796791.16
Mexico,South America,2002,-1.402932265,7.72E+11,158834.1254,37677737.25,20551493.05
Mexico,South America,2003,0.072262315,7.29E+11,152559.2962,35053571.17,19120129.73
Mexico,South America,2004,2.494832985,7.82E+11,169841.4503,39464371.74,21526020.95
Mexico,South America,2005,0.869515797,8.77E+11,206855.7161,48739270.77,26585056.79
Mexico,South America,2006,2.984438342,9.75E+11,179043.6659,42148075.81,22989859.53
Mexico,South America,2007,0.782568094,1.05E+12,218600.7542,53476871.07,29169202.4
Mexico,South America,2008,-0.357632988,1.11E+12,184377.2476,44493989.52,24269448.83
Mexico,South America,2009,-6.67416705,9.00E+11,281232.4493,65309315.72,35623263.12
Mexico,South America,2010,3.617189436,1.06E+12,166728.9135,41566764.97,22672780.89
Mexico,South America,2011,2.227160852,1.18E+12,186771.2996,46094718.89,25142573.94
Mexico,South America,2012,2.247145121,1.20E+12,174753.0638,42831068.73,23362401.13
Mexico,South America,2013,0.029449417,1.27E+12,219047.8266,53581168.47,29226091.89
Mexico,South America,2014,1.499188933,1.31E+12,170749.7738,41785690.62,22792194.88
Mexico,South America,2015,2.013927114,1.17E+12,197650.8808,48714200.99,26571382.36
Mexico,South America,2016,1.679693916,1.08E+12,274182.5821,69986673.31,38174549.08
Mexico,South America,2017,0.936351596,1.16E+12,298787.5381,74278809.97,40515714.53
Mexico,South America,2018,0.991932458,1.22E+12,267150.7211,67525548.58,36832117.41
Mexico,South America,2019,-1.229450298,1.26E+12,327437.7833,85131013.05,46435098.03
"Congo, Dem. Rep.",Africa,2001,-4.774091088,7438189100,455516.739,197969143.3,107983169.1
"Congo, Dem. Rep.",Africa,2002,-0.03120251,8728038525,514476.6882,215437288.8,117511248.4
"Congo, Dem. Rep.",Africa,2003,2.387603432,8937567060,274739.9994,109258408.3,59595495.41
"Congo, Dem. Rep.",Africa,2004,3.433175672,10297483481,400044.274,164904550.1,89947936.4
"Congo, Dem. Rep.",Africa,2005,2.808811976,11964484668,485292.8788,202725835.6,110577728.5
"Congo, Dem. Rep.",Africa,2006,1.984891599,14451902468,453170.6128,190903607.3,104129240.3
"Congo, Dem. Rep.",Africa,2007,2.849852328,16737071816,462903.2876,193772857.9,105694286.1
"Congo, Dem. Rep.",Africa,2008,2.783842465,19788515874,404830.7294,164713426.8,89843687.36
"Congo, Dem. Rep.",Africa,2009,-0.500573021,18648373312,635215.1916,270909769,147768964.9
"Congo, Dem. Rep.",Africa,2010,3.598840323,21565720044,810712.3887,332234088.3,181218593.6
"Congo, Dem. Rep.",Africa,2011,3.366411993,25839749199,429540.0787,176024074.9,96013131.77
"Congo, Dem. Rep.",Africa,2012,3.571790138,29306235826,630999.5512,258037678.6,140747824.7
"Congo, Dem. Rep.",Africa,2013,4.927562523,32679745298,920604.2215,385962151.5,210524809.9
"Congo, Dem. Rep.",Africa,2014,5.895886034,35909040266,1337961.085,530394194.9,289305924.5
"Congo, Dem. Rep.",Africa,2015,3.442604598,37917704900,928115.6381,380927561.1,207778669.7
"Congo, Dem. Rep.",Africa,2016,-0.907723407,37134799975,1381278.349,571438175.6,311693550.3
"Congo, Dem. Rep.",Africa,2017,0.401471108,38019265626,1467956.658,584185816.6,318646809.1
"Congo, Dem. Rep.",Africa,2018,2.461092671,46831342213,1373807.412,556576867.2,303587382.1
"Congo, Dem. Rep.",Africa,2019,1.110159506,47319624204,1220177.453,512721035,279666019.1
United States,North America,2001,0.003648979,1.06E+13,1943318.744,559992952.5,305450701.4
United States,North America,2002,0.802103852,1.09E+13,2038435.691,625407799.2,341131526.8
United States,North America,2003,1.980925834,1.15E+13,1649383.91,481124454.8,262431520.8
United States,North America,2004,2.842680642,1.22E+13,2746257.288,709525538.5,387013930.1
United States,North America,2005,2.563502406,1.30E+13,2691544.211,643543295.8,351023615.9
United States,North America,2006,1.867955514,1.38E+13,2605855.554,659118023,359518921.7
United States,North America,2007,0.911865598,1.45E+13,2435127.98,698584871.7,381046293.6
United States,North America,2008,-1.076700087,1.47E+13,2213723.495,723636708.1,394710931.7
United States,North America,2009,-3.38743566,1.44E+13,1608980.963,471682195,257281197.3
United States,North America,2010,1.718201295,1.50E+13,2167662.188,536491316.7,292631627.3
United States,North America,2011,0.822277548,1.55E+13,1663692.304,468964490.5,255798813
United States,North America,2012,1.508614155,1.62E+13,1964094.349,553672974.4,302003440.6
United States,North America,2013,1.145053237,1.68E+13,1736445.498,458706276.8,250203423.7
United States,North America,2014,1.709321538,1.75E+13,1736526.807,515250006.2,281045457.9
United States,North America,2015,2.131959573,1.82E+13,2289649.128,518627827.9,282887906.1
United States,North America,2016,0.841916107,1.87E+13,2264066.75,636214794.7,347026251.7
United States,North America,2017,1.574043646,1.95E+13,2311358.03,661818155.6,360991721.2
United States,North America,2018,2.391096544,2.05E+13,2092359.472,664047449.7,362207699.9
United States,North America,2019,1.849711435,2.14E+13,2109918.283,562470157.6,306801904.2
Thailand,South Asia,2001,2.489316592,1.20E+11,36101.94359,14688936.14,8012146.988
Thailand,South Asia,2002,5.271099585,1.34E+11,60882.18974,24518333.28,13373636.33
Thailand,South Asia,2003,6.390897,1.52E+11,58447.9422,23169321.05,12637811.48
Thailand,South Asia,2004,5.560908221,1.73E+11,91835.29434,36149706.18,19718021.55
Thailand,South Asia,2005,3.517291596,1.89E+11,84287.06004,33858509.61,18468277.97
Thailand,South Asia,2006,4.335656603,2.22E+11,99820.57963,38817774.61,21173331.61
Thailand,South Asia,2007,4.846449058,2.63E+11,92628.55864,35959434.79,19614237.16
Thailand,South Asia,2008,1.192205677,2.91E+11,80143.31798,31465739.95,17163130.88
Thailand,South Asia,2009,-1.189423812,2.82E+11,132690.267,52055164.89,28393726.3
Thailand,South Asia,2010,6.98828156,3.41E+11,134984.3093,53413724,29134758.54
Thailand,South Asia,2011,0.357196042,3.71E+11,94544.69378,36294080.51,19796771.19
Thailand,South Asia,2012,6.740737523,3.98E+11,114508.1207,42760259.64,23323777.99
Thailand,South Asia,2013,2.222548133,4.20E+11,84754.41246,32778048.71,17878935.66
Thailand,South Asia,2014,0.550276983,4.07E+11,137614.6337,53838491.46,29366449.89
Thailand,South Asia,2015,2.719976106,4.01E+11,120807.656,48158487.17,26268265.73
Thailand,South Asia,2016,3.044093141,4.13E+11,171638.6155,67355377.21,36739296.66
Thailand,South Asia,2017,3.707593197,4.56E+11,196456.5063,78565192.22,42853741.21
Thailand,South Asia,2018,3.822737967,5.07E+11,133532.581,52682947.37,28736153.11
Thailand,South Asia,2019,2.082137968,5.44E+11,129794.0317,50158420.92,27359138.68
Argentina,South America,2001,-5.447091545,2.69E+11,147805.9504,24326150.15,13268809.17
Argentina,South America,2002,-11.85477684,97724004252,105001.8622,18793817.62,10251173.24
Argentina,South America,2003,7.676545539,1.28E+11,249155.0069,33909100.05,18495872.76
Argentina,South America,2004,7.884937565,1.65E+11,433429.6897,58157098.87,31722053.93
Argentina,South America,2005,7.729475205,1.99E+11,367249.3478,52868312,28837261.09
Argentina,South America,2006,6.955547382,2.33E+11,316447.2284,47480775.7,25898604.93
Argentina,South America,2007,7.924238139,2.88E+11,425345.2678,54082969.14,29499801.35
Argentina,South America,2008,3.029477312,3.62E+11,592753.2272,82481078.38,44989679.12
Argentina,South America,2009,-6.854227333,3.33E+11,309857.9992,42224123.4,23031340.04
Argentina,South America,2010,9.300128322,4.24E+11,413230.8224,56571813.84,30857353.01
Argentina,South America,2011,4.788683139,5.30E+11,499187.1777,62521450.26,34102609.23
Argentina,South America,2012,-2.14528445,5.46E+11,478177.9106,63395651.05,34579446.03
Argentina,South America,2013,1.265685175,5.52E+11,376776.5933,53779778.79,29334424.8
Argentina,South America,2014,-3.57858051,5.26E+11,241102.8077,31519834.73,17192637.12
Argentina,South America,2015,1.629664279,5.95E+11,180233.1055,25072837.26,13676093.05
Argentina,South America,2016,-3.110063898,5.58E+11,230189.4211,30257152.77,16503901.51
Argentina,South America,2017,1.609282344,6.43E+11,233919.6778,32367354.33,17654920.55
Argentina,South America,2018,-3.467376243,5.20E+11,172958.0946,22491884.36,12268300.56
Argentina,South America,2019,-3.130051379,4.50E+11,145444.2708,20029157.92,10924995.23
Australia,Australia,2001,0.565713356,1.97E+11,218817.7742,29351125.06,16009704.58
Australia,Australia,2002,2.739689402,2.13E+11,312151.1154,39549231.43,21572308.05
Australia,Australia,2003,1.722906343,2.62E+11,373846.7772,61600800.58,33600436.68
Australia,Australia,2004,2.856147677,3.01E+11,124768.9571,28538071.82,15566220.99
Australia,Australia,2005,1.851031265,3.16E+11,177024.1856,31965270.97,17435602.35
Australia,Australia,2006,1.289259674,3.36E+11,186303.9982,34872435.97,19021328.71
Australia,Australia,2007,3.197638455,3.89E+11,372716.9607,69483845.49,37900279.36
Australia,Australia,2008,1.601262237,4.30E+11,205726.8557,36795862.98,20070470.72
Australia,Australia,2009,-0.142541245,4.00E+11,203711.204,48637184.76,26529373.5
Australia,Australia,2010,0.492100956,3.92E+11,290725.8406,39433106.53,21508967.2
Australia,Australia,2011,1.0488838,4.31E+11,121315.7662,26643160.98,14532633.26
Australia,Australia,2012,2.119682504,4.09E+11,139803.692,27751818.89,15137355.76
Australia,Australia,2013,0.834341933,4.30E+11,260094.2573,57256300.56,31230709.4
Australia,Australia,2014,1.015114993,4.42E+11,281749.0068,62468140.18,34073531.01
Australia,Australia,2015,0.732399751,3.82E+11,261577.1827,47199702.75,25745292.41
Australia,Australia,2016,1.177911433,3.95E+11,430905.5769,85755395.37,46775670.2
Australia,Australia,2017,0.657653884,4.18E+11,236877.7529,53498587.45,29181047.7
Australia,Australia,2018,1.371144495,4.56E+11,251089.664,48380811,26389533.27
Australia,Australia,2019,0.363735767,4.46E+11,1661547.941,406343792.4,221642068.6
